Student ID,Study Hours,Fixed Schedule,Productive Time,Notes Review,Focus (1-10),Preferred Method,GPA
001,5,Yes,Evening,Often,6,Flashcards,2.8
002,0,No,Late Night,Rarely,3,Watching Videos,1.2
003,20,Yes,Afternoon,Always,10,Practice Problems,4.0
004,7,No,Morning,Sometimes,5,Group Study,2.5
005,16,Yes,Evening,Always,9,Reading,3.7
006,1,No,Evening,Never,2,Flashcards,1.0
007,8,Yes,Morning,Often,7,Practice Problems,3.1
008,2,Yes,Afternoon,Rarely,3,Reading,1.6
009,18,No,Late Night,Always,10,Watching Videos,3.9
010,6,Yes,Evening,Often,8,Flashcards,3.2
011,3,No,Morning,Sometimes,4,Practice Problems,2.3
012,22,Yes,Afternoon,Always,10,Group Study,4.0
013,0,No,Late Night,Sometimes,2,Reading,1.4
014,9,No,Evening,Rarely,5,Watching Videos,2.6
015,11,Yes,Afternoon,Rarely,8,Practice Problems,3.4
